prompt_version,created_at_utc,scope,parent_version,change_reason,affected_cases,validation_summary,status,git_commit,notes
PV001,2026-09-02T00:00:00Z,core,,Initial evidence-first prompt for the standardized text condition,all,Not yet run; preparation only,active,,No analyst answer or gold label is embedded.
PV002,2026-09-02T05:00:00Z,DeepSeek,PV001,P001 exhausted the output budget on reasoning,PYPL-FY24;COIN-FY24;NVDA-FY25,Pending P002 smoke,candidate,,Reasoning disabled and JSON output enforced; no answer labels embedded.
PV003,2026-09-02T05:00:00Z,Gemma,PV001,P001 exhausted the output budget on thinking,PYPL-FY24;COIN-FY24;NVDA-FY25,Pending P002 smoke,candidate,,Thinking disabled and schema output enforced; no answer labels embedded.
PV004,2026-09-02T05:00:00Z,Finance Llama,PV001,P001 returned prose and unsupported citations,PYPL-FY24;COIN-FY24;NVDA-FY25,Pending P002 smoke,candidate,,Compact explicit contract and schema output; no answer labels embedded.
PV005,2026-09-02T05:15:00Z,DeepSeek,PV002,P002 a01 used scalar values for required arrays,PYPL-FY24;COIN-FY24;NVDA-FY25,PYPL a02 passed AE002,selected-candidate,,Adds field types and a short literal-line quote rule; no answer labels embedded.
PV006,2026-09-02T05:15:00Z,Gemma,PV003,P002 a01 omitted a word from one of three quotations,PYPL-FY24;COIN-FY24;NVDA-FY25,PYPL a02 passed AE002,selected-candidate,,Adds a six-step literal-line copy check; no answer labels embedded.
PV007,2026-09-02T05:15:00Z,Finance Llama,PV004,P002 a01 misread active paragraph and page markers,PYPL-FY24;COIN-FY24;NVDA-FY25,PYPL a02 failed citation validation,rejected,,Adds explicit locator-state algorithm and conservative absent-detail rule; no answer labels embedded.
PV008,2026-09-02T05:45:00Z,Finance pipeline,PV007,Prompt-only locator control regressed and the locked model is trained for context-grounded RAG QA,PYPL-FY24;COIN-FY24;NVDA-FY25,Pending P002 a03,candidate,,Model selects immutable evidence IDs; deterministic locator restores exact source spans; no answer labels embedded.
PV009,2026-09-02T05:50:00Z,Finance pipeline,PV008,Verbose locator metadata exceeded the context window in P002 a03,PYPL-FY24,PYPL a04 passed automatic checks but failed agent-assisted financial review,rejected,,Compact ID plus physical-line view; a04 archived prompt incorrectly retained PV008 metadata and is a disclosed preparation-only version exception.
PV010,2026-09-02T06:00:00Z,Finance pipeline,PV009,P002 a04 exposed incomplete physical-line evidence and unsupported theme expansion,PYPL-FY24;COIN-FY24;NVDA-FY25,Pending P002 a05,candidate,,Uses complete evidence sentences and strict analytical field boundaries; no answer labels embedded.
